TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Location,Channel,CustomerOccupation,TransactionDate,PreviousTransactionDate,BinningAge,Target
14.089999999999975,70.0,81.0,1.0,5112.21,Debit,San Diego,ATM,Doctor,2023-04-11 16:29:14,2024-11-04 08:08:08,High,1
376.24,68.0,141.0,1.0,13758.91,Debit,Houston,ATM,Doctor,2023-06-27 16:44:19,2024-11-04 08:09:35,High,0
126.29000000000002,19.0,56.0,1.0,1122.35,Debit,Mesa,Online,Student,2023-07-10 18:16:08,2024-11-04 08:07:04,Very Low,2
184.5,26.0,25.0,1.0,8569.06,Debit,Raleigh,Online,Student,2023-05-05 16:32:11,2024-11-04 08:09:06,Very Low,0
13.449999999999989,45.0,198.0,1.0,7429.4,Credit,Atlanta,Online,Student,2023-10-16 17:51:24,2024-11-04 08:06:39,Medium,0
92.15,18.0,172.0,1.0,781.6800000000003,Debit,Oklahoma City,ATM,Student,2023-04-03 17:15:01,2024-11-04 08:06:36,Very Low,2
7.079999999999984,37.0,139.0,1.0,13316.71,Credit,Seattle,ATM,Doctor,2023-02-15 16:36:48,2024-11-04 08:10:09,Low,0
171.42,67.0,291.0,1.0,2796.24,Credit,Indianapolis,Branch,Retired,2023-05-08 17:47:59,2024-11-04 08:10:55,High,1
106.23000000000002,51.0,86.0,1.0,9095.14,Credit,Detroit,Branch,Engineer,2023-03-21 16:59:46,2024-11-04 08:11:14,Medium,0
815.96,55.0,120.0,1.0,1021.8800000000006,Debit,Nashville,ATM,Doctor,2023-03-31 16:06:57,2024-11-04 08:06:32,Medium,1
17.779999999999973,52.0,59.0,1.0,7599.52,Credit,Albuquerque,Online,Engineer,2023-03-14 16:46:10,2024-11-04 08:06:45,Medium,0
190.02,21.0,173.0,1.0,1528.81,Debit,Memphis,Online,Student,2023-02-06 17:30:00,2024-11-04 08:07:12,Very Low,2
494.52,24.0,111.0,1.0,1620.02,Credit,Mesa,Branch,Student,2023-06-07 17:21:28,2024-11-04 08:08:38,Very Low,2
781.76,26.0,123.0,1.0,189.6899999999996,Debit,Memphis,ATM,Student,2023-11-20 16:39:15,2024-11-04 08:07:06,Very Low,2
166.99,18.0,134.0,1.0,299.9300000000003,Debit,Louisville,Online,Student,2023-02-13 16:53:57,2024-11-04 08:10:09,Very Low,2
465.45,36.0,129.0,1.0,3465.54,Debit,Denver,ATM,Engineer,2023-12-12 16:23:31,2024-11-04 08:12:19,Low,2
555.8,19.0,158.0,1.0,1131.2600000000002,Credit,Austin,Branch,Student,2023-10-30 16:52:49,2024-11-04 08:07:35,Very Low,2
492.93,39.0,234.0,1.0,5109.97,Debit,Columbus,Online,Engineer,2023-12-14 18:32:14,2024-11-04 08:11:51,Low,2
18.680000000000007,59.0,106.0,1.0,7948.37,Credit,Albuquerque,Branch,Retired,2023-02-21 16:56:50,2024-11-04 08:12:01,Medium,1
71.48000000000005,18.0,169.0,1.0,6568.59,Credit,Columbus,Online,Student,2023-06-08 18:18:50,2024-11-04 08:09:20,Very Low,2
59.31999999999999,71.0,38.0,1.0,5750.89,Debit,Los Angeles,Branch,Retired,2023-02-28 16:36:58,2024-11-04 08:09:24,High,1
85.76999999999995,38.0,93.0,1.0,9146.19,Debit,Las Vegas,Branch,Doctor,2023-08-11 18:31:31,2024-11-04 08:08:13,Low,0
52.19999999999999,39.0,120.0,1.0,8974.93,Debit,Atlanta,Online,Engineer,2023-06-06 18:54:15,2024-11-04 08:07:01,Low,0
145.54,21.0,96.0,1.0,1930.96,Debit,Raleigh,Online,Student,2023-03-02 16:43:56,2024-11-04 08:07:09,Very Low,2
7.490000000000009,65.0,276.0,1.0,3634.67,Credit,Houston,Online,Retired,2023-10-20 17:53:13,2024-11-04 08:09:44,High,1
40.31999999999999,37.0,95.0,1.0,2686.52,Debit,Milwaukee,Branch,Engineer,2023-03-29 16:42:38,2024-11-04 08:11:59,Low,2
127.44999999999999,44.0,197.0,1.0,1772.06,Debit,Las Vegas,Online,Doctor,2023-01-24 16:18:32,2024-11-04 08:11:22,Low,2
56.170000000000016,27.0,283.0,1.0,1351.69,Debit,Detroit,Branch,Student,2023-09-20 16:55:42,2024-11-04 08:08:30,Low,2
28.310000000000002,59.0,20.0,1.0,8334.47,Credit,Miami,Online,Doctor,2023-07-17 17:49:22,2024-11-04 08:09:17,Medium,1
59.12000000000003,29.0,257.0,1.0,9823.64,Debit,Baltimore,ATM,Doctor,2023-02-06 16:24:24,2024-11-04 08:06:58,Low,0
877.81,22.0,150.0,1.0,399.0,Debit,Los Angeles,Online,Student,2023-03-13 17:23:24,2024-11-04 08:07:50,Very Low,2
255.26,45.0,50.0,1.0,14815.87,Credit,San Francisco,Branch,Doctor,2023-10-27 16:42:49,2024-11-04 08:10:51,Medium,0
124.75999999999999,49.0,45.0,1.0,5764.72,Debit,Seattle,Branch,Engineer,2023-10-16 16:32:56,2024-11-04 08:06:23,Medium,1
78.13,26.0,145.0,1.0,900.6099999999997,Debit,Milwaukee,Branch,Student,2023-11-21 16:58:44,2024-11-04 08:12:18,Very Low,2
649.28,75.0,137.0,1.0,4875.86,Debit,San Jose,ATM,Retired,2023-03-02 17:53:32,2024-11-04 08:11:15,High,1
